唯一代码,Q1,Q2,Q3,Q4,Total,,,
00ea04379f037ef9b877c698819ac006,24,30,30,10,94,,,
011e847279d6f40437b45993f167a5e6,20,30,28,5,83,,,
021e2af440eb9204e8030df1e8b9d926,5,30,9,5,49,,,
02ab60d92e141d247a6e22c9964d0154,5,17,12,0,34,,,
02ea24d6329e53bca57e6a3b8e130308,30,30,28,0,88,,,
039ee34aab5e3e528765bb5e6357b8e8,0,30,30,10,70,,,
041dd954c37399dce2784a7eb715b124,26,30,30,10,96,,,
041ea883295606919a6e17a59e18d314,5,25,9,10,49,,,
06f17de0d17cc18733e888cdbab231f2,30,30,30,10,100,,,
07f1d40e996afe3d4ec0d4c1385e14b0,5,0,1,5,11,,,
080fa8625db90856510800a423bf23ce,6,30,30,10,76,,,
08746513f07397b6135f30e8719f6fde,6,5,30,10,51,,,
0887a6dfbbccec442e8d836422f07bb1,17,5,9,0,31,,,
08a0cf2cb0b486b63c4a809457e78f5c,0,25,12,0,37,,,
0ac3759b468581fc8cde3afd42a5c883,5,30,30,10,75,,,
0b38f9c0532f591a3cc2bb5abda31503,30,25,30,5,90,,,
0bd4f91b3330c6d9c569cd2d8e33fb80,13,30,30,10,83,,,
0c6578ce7bf7644cb680acbebb6efea4,5,5,0,0,10,,,
0faab1ee14de13f420b7f020b3d181a2,30,30,30,10,100,,,
1038f315ad1647087d3c677e068125ab,26,30,30,10,96,,,
116fb4ddeac3cba24e19fe537359c751,30,20,15,0,65,,,
11b92811ee8c1132a733b6c76987e7a6,5,15,15,0,35,,,
11dc0eea350dc4b3fabe81ce7f6d5681,23,30,30,10,93,,,
11ff64ab13c6841cf8867d5fb1cbb8b2,30,20,18,10,78,,,
120f6ef6290a91e862090fced286c5c1,5,20,30,10,65,,,
12d2c88218ee27b77eadaf3e798e42bd,6,30,25,10,71,,,
132083e8c8450ab53fd7869440b522f5,6,30,30,10,76,,,
13b01c8c90ef6f8ed16ffca406fbd65b,30,30,30,5,95,,,
14617e9b3364d4ead9bcad8cfdcb5477,12,30,30,5,77,,,
1473572bd2193dcd705105605dddea42,12,20,27,5,64,,,
159c9b8320836036698f3c80284bce16,5,5,0,5,15,,,
16af883f4841545bac4f532d798ee418,5,5,10,5,25,,,
174c549d00df8f8a800270a48fbb2706,5,30,28,10,73,,,
183aa5ee11f8cadc7888e59ed905943b,13,20,12,0,45,,,
1858f629d0763fe4ad663f91e437ceba,5,20,12,10,47,,,
1a8c022ed9a6310f724cf75240fdb4ac,17,30,15,10,72,,,
1acc62008d1b4a8dec4a41cf3e76b7a3,5,20,12,0,37,,,
1adcd0567b29d6597ff839d71e1c0144,5,30,30,10,75,,,
1e1ec71af6fa49857209d9ccda33cae0,5,30,16,5,56,,,
1e9603b8e30aea0131aaae8640bbdd06,20,30,30,10,90,,,
1ed42c4de6de24fbf1fd297784a2f57a,5,25,30,5,65,,,
1ee253372b54632aab1364fb15b6a356,30,30,30,10,100,,,
22aaa728cfceb029465467a2146f4db0,9,25,30,10,74,,,
2329c54ff1615497086e7f6472316f33,20,30,30,10,90,,,
240faa3debdb9721e5004fcc052eebf9,20,5,12,10,47,,,
243da1ebdf5d818626f0d5193c0ea887,16,30,30,5,81,,,
2577c0a35b2a25c78a91cfc97b24f07a,5,25,30,5,65,,,
28cbcad74490c2b103b6c33a9d5cfe32,5,30,30,0,65,,,
2950d53bcc84c77c201db695b24ee8a3,0,5,12,5,22,,,
29807f684356a8049ef12e75a5c1b94e,5,20,9,10,44,,,
29ec00941ae9f130cefe55ee44278730,5,5,10,0,20,,,
2a606081a5de14a53597fe70d8cb60ea,5,5,27,0,37,,,
2a665e1c485cad6016fba793e6bd117b,10,30,12,10,62,,,
2b36e92f400d76d1941b30e146eee70f,0,20,9,10,39,,,
2c91fcac911ac04942ede10a86cc6778,6,25,15,5,51,,,
2cb3baf73063d352436222709281835a,26,30,30,10,96,,,
2d4ff77eac213968eabb51289f51203d,30,30,20,10,90,,,
2e7dcd5d31819970aad9a2abea8db287,0,30,12,10,52,,,
2fff32c36b3c935f7e06615e76777eb3,5,25,9,5,44,,,
306b8a0057cbf61cde8c873c8e450648,17,30,30,10,87,,,
3102245061d605c5e91b853edfafcbfe,5,30,12,5,52,,,
318a11e836b7399fbe9b91d3693e7d5b,30,30,30,10,100,,,
31ef9eed88f38d40d7715d1ad975763b,5,30,25,0,60,,,
32ee8779bc48c5202d0efd99747b0ea0,5,0,15,0,20,,,
33d43c5ffad42ae78f2511ef2a1de7ec,23,5,15,0,43,,,
3409696ac43a24273509de03dbfeeb88,20,30,28,0,78,,,
344b3068cbcd0da5ac32245868fbda1c,12,30,12,10,64,,,
34f4ae7d9a2a9ed659d76442ff3e4b65,20,30,30,10,90,,,
35345915307fc2c2ee2c0c797de223b7,5,5,12,5,27,,,
36ce7a3b09b076cf2b33610cc000969a,5,0,3,0,8,,,
37a7a0fe4a2dae81062dfa96a50ffa71,5,12,10,10,37,,,
380df545148be74a352cd3abaf698f40,17,22,30,10,79,,,
3826827edf19ed64c0b6bd2a46e8f20d,30,15,30,5,80,,,
383be892a7582a448b823e3dba75ca46,5,30,30,10,75,,,
39e0c111e590763fa8b39265ad9b6741,5,20,20,5,50,,,
3cc0d083252d8710ce88d76db6231954,17,20,30,10,77,,,
3d8fab7c91402172d2253fb8907d49de,5,5,12,10,32,,,
3d9a3a23a53170d1dc5e6837f49f157c,,#N/A,0,0,#N/A,,,
3f19f797c9b3c59edd0e76f635954d27,24,25,30,10,89,,,
3fe999de68d04772e277f327c7a26786,9,30,15,10,64,,,
4217056ec366f3ad1b13588c322c1a54,5,5,12,0,22,,,
42b63d7b616c276757b16ab173e79cab,5,30,30,0,65,,,
430f3b081cb589697a29b3de575f58ba,20,10,27,5,62,,,
437b2a5212eb4edaf196c87649c0aa54,5,30,30,10,75,,,
438a141aa01c18cf9a2bd1000f27939f,5,5,11,0,21,,,
44306691c840cc1d3ad8368e3e1d64c2,20,25,30,5,80,,,
46e77ea26564d2ac4a5485c34d915de1,13,30,15,5,63,,,
474c05c9d4ec18ab9623d07312c24bbc,30,30,30,10,100,,,
477ad73212e7acad47d9de8a877becc9,9,30,30,10,79,,,
47db9565dc82a90290e01e457998a09d,17,30,30,0,77,,,
4886fe1ca56580d35ab99c4ad72f8fe5,5,30,0,0,35,,,
48df395d43662277cbeaf3a1c4ac377f,,15,30,10,55,,,
49a7ec56fff55b8644bfe5a2c2fad0f6,5,20,9,5,39,,,
49f0b34a4d9e77632f762d00a3c319a7,0,0,8,0,8,,,
