only code,lab_att,lab_score,hm_score,lab_att,lab_score,lab_att,lab_score,hm_score,lab_att,lab_score,hm_score,lab_att,lab_score,hm_score,lab_att,lab_score,hm_score,lab_att,lab_score,hm_score,lab_att,lab_score,hm_score,lab_att,lab_score,hm_score,lab_att,lab_score,hm_score,lab_att,lab_score,hm_score,lab_att,lab_score,hm_score,lab_att,lab_att
00ea04379f037ef9b877c698819ac006,1,10,100,1,10,1,10,100,1,10,100,1,10,100,,10,95,1,10,100,1,10,94,1,10,100,1,0,1,1,10,65,1,10,100,1,1
011e847279d6f40437b45993f167a5e6,1,10,100,1,10,,10,100,1,0,77.5,1,10,10,1,10,100,1,10,100,1,10,100,1,10,51,1,0,85,1,10,30,1,10,100,1,1
021e2af440eb9204e8030df1e8b9d926,1,0,100,1,10,1,10,10,1,0,100,1,10,100,1,0,0,1,10,86,1,10,82,,10,78,1,0,78,1,10,0,1,10,100,1,1
02ab60d92e141d247a6e22c9964d0154,1,10,100,1,10,1,10,100,,0,85,1,10,95,1,10,92,1,0,100,1,10,100,1,10,87,1,0,30,1,10,70,1,10,10,1,1
02ea24d6329e53bca57e6a3b8e130308,1,10,100,1,10,1,10,100,1,10,100,1,10,100,1,10,100,1,10,100,1,10,100,1,10,100,1,10,31,1,10,60,1,10,95,1,0
039ee34aab5e3e528765bb5e6357b8e8,1,10,100,1,10,1,10,100,1,0,90,1,10,90,1,10,100,1,10,100,1,10,100,1,10,95,1,0,90,1,10,80,1,10,100,1,0
041dd954c37399dce2784a7eb715b124,1,10,100,1,0,1,10,100,1,0,95,0,10,95,1,10,100,1,0,100,1,10,100,1,10,100,1,0,100,1,10,55,1,10,100,1,1
041ea883295606919a6e17a59e18d314,1,10,100,1,10,1,10,100,0,0,67.5,0,0,100,0,0,50,0,0,100,1,10,100,1,10,100,1,0,100,1,10,100,,0,100,1,0
06f17de0d17cc18733e888cdbab231f2,1,10,100,1,10,1,10,100,,0,100,1,10,100,1,10,64,1,10,100,1,10,100,1,10,100,1,0,92,1,10,93,1,10,100,,1
07f1d40e996afe3d4ec0d4c1385e14b0,1,10,100,1,0,1,0,20,1,0,95,1,0,94,1,0,50,0,0,100,1,0,70,1,0,66,0,0,85,0,0,37,,0,100,1,1
080fa8625db90856510800a423bf23ce,1,10,100,1,10,1,10,100,1,0,100,1,10,100,1,10,56,1,0,100,1,10,100,1,10,44,1,0,59,1,10,68,1,10,100,1,1
08746513f07397b6135f30e8719f6fde,1,10,100,1,10,1,10,100,,10,100,1,10,100,,10,100,1,10,100,1,10,100,1,10,100,,0,89,1,10,55,1,10,100,1,0
0887a6dfbbccec442e8d836422f07bb1,1,10,100,1,10,1,10,100,1,0,100,1,10,100,1,10,100,1,10,90,1,10,100,1,10,100,1,10,58,1,10,100,1,10,100,1,0
08a0cf2cb0b486b63c4a809457e78f5c,1,0,10,1,0,1,10,10,1,10,0,1,0,0,,0,0,1,10,0,1,0,0,1,10,13,,0,0,1,10,2,,0,92,1,1
0ac3759b468581fc8cde3afd42a5c883,1,10,100,1,10,1,10,100,1,0,100,1,10,95,1,10,10,1,10,100,1,10,100,1,10,91,1,0,88,1,8,43,1,10,100,1,0
0b38f9c0532f591a3cc2bb5abda31503,1,0,100,1,0,1,10,100,1,0,32.5,1,10,100,1,10,90,1,10,100,1,10,100,,0,88,1,10,72,,0,60,,10,10,,1
0bd4f91b3330c6d9c569cd2d8e33fb80,1,10,100,1,10,,0,100,,0,100,,10,100,1,0,64,1,10,37,,0,100,,0,65,1,0,74,,0,13,1,10,90,1,0
0c6578ce7bf7644cb680acbebb6efea4,1,10,90,1,10,1,10,100,1,10,100,1,10,100,1,10,100,1,10,100,1,10,100,1,10,72,1,0,53,1,10,35,1,10,100,1,1
0faab1ee14de13f420b7f020b3d181a2,1,10,,1,10,1,10,0,0,0,100,0,10,75,0,10,100,1,10,100,1,10,0,0,10,#N/A,1,10,100,0,0,20,,0,100,0,0
1038f315ad1647087d3c677e068125ab,1,10,100,1,0,1,10,100,1,10,100,1,10,64,1,10,100,1,10,100,1,10,100,1,10,90,1,0,63,1,10,70,1,10,100,1,1
116fb4ddeac3cba24e19fe537359c751,1,0,40,1,0,,10,50,,0,100,,0,64,1,10,91,1,10,100,,10,100,1,10,100,1,0,100,1,10,65,1,10,100,1,1
11b92811ee8c1132a733b6c76987e7a6,1,0,70,1,0,1,0,65,,0,72.5,,0,95,,0,64,1,0,100,,0,100,,0,89,1,0,66,1,10,60,1,10,100,1,1
11dc0eea350dc4b3fabe81ce7f6d5681,1,10,100,1,10,1,10,100,1,10,100,1,10,64,1,10,100,1,10,100,1,10,100,1,10,90,1,0,63,1,10,70,1,10,100,1,0
