唯一代码,Q1,Q2,Q3,Q4,Total
00ea04379f037ef9b877c698819ac006,25,30,30,10,95
011e847279d6f40437b45993f167a5e6,0,29,30,10,69
021e2af440eb9204e8030df1e8b9d926,10,0,10,10,30
02ab60d92e141d247a6e22c9964d0154,0,24,0,7.5,31.5
02ea24d6329e53bca57e6a3b8e130308,30,30,30,10,100
039ee34aab5e3e528765bb5e6357b8e8,30,30,30,10,100
041dd954c37399dce2784a7eb715b124,0,27,10,7.5,44.5
041ea883295606919a6e17a59e18d314,15,15,15,7.5,52.5
06f17de0d17cc18733e888cdbab231f2,30,30,30,10,100
07f1d40e996afe3d4ec0d4c1385e14b0,15,4,30,10,59
080fa8625db90856510800a423bf23ce,10,16,15,10,51
08746513f07397b6135f30e8719f6fde,5,30,30,7.5,72.5
0887a6dfbbccec442e8d836422f07bb1,15,27,20,10,72
08a0cf2cb0b486b63c4a809457e78f5c,25,0,10,5,40
0ac3759b468581fc8cde3afd42a5c883,30,9,0,7.5,46.5
0b38f9c0532f591a3cc2bb5abda31503,10,30,30,10,80
0bd4f91b3330c6d9c569cd2d8e33fb80,15,0,0,7.5,22.5
0c6578ce7bf7644cb680acbebb6efea4,25,16,15,7.5,63.5
0faab1ee14de13f420b7f020b3d181a2,30,30,30,10,100
1038f315ad1647087d3c677e068125ab,30,30,30,10,100
116fb4ddeac3cba24e19fe537359c751,15,18,10,5,48
11b92811ee8c1132a733b6c76987e7a6,15,30,10,7.5,62.5
11dc0eea350dc4b3fabe81ce7f6d5681,30,19,30,10,89
11ff64ab13c6841cf8867d5fb1cbb8b2,30,30,30,10,100
120f6ef6290a91e862090fced286c5c1,30,20,30,10,90
12d2c88218ee27b77eadaf3e798e42bd,25,30,30,0,85
132083e8c8450ab53fd7869440b522f5,15,30,30,10,85
13b01c8c90ef6f8ed16ffca406fbd65b,30,30,30,10,100
14617e9b3364d4ead9bcad8cfdcb5477,30,2,30,7.5,69.5
1473572bd2193dcd705105605dddea42,30,16,30,10,86
159c9b8320836036698f3c80284bce16,5,11,10,10,36
16af883f4841545bac4f532d798ee418,30,22,30,0,82
174c549d00df8f8a800270a48fbb2706,30,7,30,10,77
183aa5ee11f8cadc7888e59ed905943b,15,2,15,7.5,39.5
1858f629d0763fe4ad663f91e437ceba,25,30,30,7.5,92.5
1a8c022ed9a6310f724cf75240fdb4ac,15,23,30,10,78
1acc62008d1b4a8dec4a41cf3e76b7a3,15,4,15,10,44
1adcd0567b29d6597ff839d71e1c0144,30,25,30,10,95
1e1ec71af6fa49857209d9ccda33cae0,15,30,30,5,80
1e9603b8e30aea0131aaae8640bbdd06,15,26,30,7.5,78.5
1ed42c4de6de24fbf1fd297784a2f57a,30,0,30,5,65
1ee253372b54632aab1364fb15b6a356,30,30,30,10,100
