notename,keynum,pitch,,,,
A0,1,27.500,,,,
A#0,2,29.135,,,,
B0,3,30.868,,,,
C1,4,32.703,,,,
C#1,5,34.648,,,,
D1,6,36.708,,,,
D#1,7,38.891,,,,
E1,8,41.203,,,,
F1,9,43.654,,,,
F#1,10,46.249,,,,
G1,11,48.999,,,,
G#,12,51.913,,,,
A1,13,55.000,,,,
A#1,14,58.270,,,,
B1,15,61.735,,,,
C2,16,65.406,,,,
C#2,17,69.296,,,,
D2,18,73.416,,,,
D#2,19,77.782,,,,
E2,20,82.407,,,,
F2,21,87.307,,,,
F#2,22,92.499,,,,
G2,23,97.999,,,,
G#2,24,103.826,,,,
A2,25,110.000,,,,
A#2,26,116.541,,,,
B2,27,123.471,,,,
C3,28,130.813,,,,
C#3,29,138.591,,,,
D3,30,146.832,,,,
D#3,31,155.563,,,,
E3,32,164.814,,,,
F3,33,174.614,,,,
F#3,34,184.997,,,,
G3,35,195.998,,,,
G#3,36,207.652,,,,
A3,37,220.000,,,,
A#3,38,233.082,,,,
B3,39,246.942,,,,
C4,40,261.626,,,,
C#4,41,277.183,,,,
D4,42,293.665,,,,
D#4,43,311.127,,,,
E4,44,329.628,,,,
F4,45,349.228,,,,
F#4,46,369.994,,,,
G4,47,391.995,,,,
G#4,48,415.305,,,,
A4,49,440.000,,,,
A#4,50,466.164,,,,
B4,51,493.883,,,,
C5,52,523.251,,,,
C#5,53,554.365,,,,
D5,54,587.330,,,,
D#5,55,622.254,,,,
E5,56,659.255,,,,
F5,57,698.456,,,,
F#5,58,739.989,,,,
G5,59,783.991,,,,
G#5,60,830.609,,,,
A5,61,880.000,,,,
A#5,62,932.328,,,,
B5,63,987.767,,,,
C6,64,1046.502,,,,
C#6,65,1108.731,,,,
D6,66,1174.659,,,,
D#6,67,1244.508,,,,
E6,68,1318.510,,,,
F6,69,1396.913,,,,
F#6,70,1479.978,,,,
G6,71,1567.982,,,,
G#6,72,1661.219,,,,
A6,73,1760.000,,,,
A#6,74,1864.655,,,,
B6,75,1975.533,,,,
C7,76,2093.005,,,,
C#7,77,2217.461,,,,
D7,78,2349.318,,,,
D#7,79,2489.016,,,,
E7,80,2637.020,,,,
F7,81,2793.826,,,,
F#7,82,2959.955,,,,
G7,83,3135.963,,,,
G#7,84,3322.438,,,,
A7,85,3520.000,,,,
A#7,86,3729.310,,,,
B7,87,3951.066,,,,
C8,88,4186.009,,,,
,,,,,,
,,,,,,
,,,,,,
